qid,label,hallucination_score_manual,correctness_score_manual,semantic_similarity_manual,explanation,model,hallucination_score_auto,correctness_score_auto,completeness,relevance,regulatory_consistency,semantic_similarity_auto,category,manual_correct,auto_correct
1,partially_correct,0.25,0.8,0.82,Visamate includes required items but adds home-country ties which are not required for F-1 entry; still mostly correct.,VisaMate,0.177222697,0.822777303,0.875924343,0.777938314,0.1,0.875924343,Initial F-1 Entry,0,1
2,correct,0,1,0.98,Exactly matches DHS 30-day rule.,VisaMate,0.157016833,0.842983167,0.865405502,0.525475377,0.2,0.865405502,Initial F-1 Entry,1,1
3,correct,0,0.95,0.92,Correct that I-20 is not activated at the border and CBP reviews it.,VisaMate,0.194423051,0.805576949,0.740812052,0.778189951,0.3,0.740812052,Initial F-1 Entry,1,1
4,correct,0,1,0.97,Accurately reflects CBP expectations for financial documentation.,VisaMate,0.809756659,0.190243341,0.63414447,0.64428398,0.2,0.63414447,Initial F-1 Entry,1,0
5,correct,0,1,0.97,Correctly explains visa expiration rules and need for a new visa only when reentering.,VisaMate,0.056467767,0.943532233,0.81177411,0.694319838,0.1,0.81177411,Initial F-1 Entry,1,1
6,partially_correct,0.1,0.9,0.9,"Accurate overall, but missing explicit requirement that dependents must receive their own I-20s.",VisaMate,0.455521217,0.544478783,0.777844986,0.797173714,0.1,0.777844986,Initial F-1 Entry,0,0
7,partially_correct,0.1,0.85,0.88,Correct about school requirements but should explicitly state that the U.S. government does NOT require health insurance for F-1.,VisaMate,0.479667189,0.520332811,0.76222048,0.56545578,0,0.76222048,Initial F-1 Entry,0,0
8,correct,0,1,0.98,Correctly identifies SEVIS ID location and issuance.,VisaMate,0.159709915,0.840290085,0.856522507,0.776336509,0.2,0.856522507,Initial F-1 Entry,1,1
9,incorrect,0.7,0.3,0.25,Visamate incorrectly says students may work on-campus immediately upon arrival; federal rule allows work only ON OR AFTER program start date.,VisaMate,0.047727712,0.952272288,0.840962112,0.547853962,0.4,0.840962112,Initial F-1 Entry,0,1
10,correct,0,0.95,0.93,Accurately describes check-in requirement for SEVIS activation.,VisaMate,0.589530678,0.410469322,0.590453297,0.465926022,0.2,0.590453297,Initial F-1 Entry,1,0
11,correct,0,1,0.98,Matches federal CPT one-academic-year rule.,VisaMate,0.596640414,0.403359586,0.761198618,0.587867036,0.2,0.761198618,CPT,1,0
12,correct,0,0.95,0.95,Correctly states CPT/OPT must be related to major; fully aligned.,VisaMate,0.571171916,0.428828084,0.651649167,0.630425022,0.5,0.651649167,CPT,1,0
13,correct,0,0.95,0.94,Accurate description of part-time CPT rules.,VisaMate,0.195629787,0.804370213,0.736789599,0.722377967,0.2,0.736789599,CPT,1,1
14,correct,0,0.9,0.9,"Correct: CPT is processed by schools, not USCIS.",VisaMate,0.452803516,0.547196484,0.657358553,0.72427109,0.2,0.657358553,CPT,1,0
15,correct,0,1,0.97,Correctly states CPT requires a job offer entered into SEVIS.,VisaMate,0.067756091,0.932243909,0.774146364,0.725719872,0.2,0.774146364,CPT,1,1
16,correct,0.05,0.95,0.94,Correct that multiple CPT employers are allowed if each is authorized separately.,VisaMate,0.42451071,0.57548929,0.751630968,0.72638431,0.3,0.751630968,CPT,1,0
17,correct,0,1,0.98,Accurately states that 12+ months of full-time CPT eliminates OPT.,VisaMate,0.041519494,0.958480506,0.861601686,0.784554787,0.3,0.861601686,CPT,1,1
18,partially_correct,0.1,0.85,0.8,Correct but missing explicit note that documentation requirements vary by school and USCIS does not require forms.,VisaMate,0.329635905,0.670364095,0.678991429,0.546530301,0.3,0.678991429,CPT,0,0
19,correct,0,1,0.97,Fully correct: CPT must be authorized on the I-20 before starting work.,VisaMate,0.65824354,0.34175646,0.750299311,0.613489714,0.2,0.750299311,CPT,1,0
20,correct,0,1,0.97,Correctly explains that only full-time CPT of 12+ months affects OPT eligibility.,VisaMate,0.071587624,0.928412376,0.761429215,0.604346826,0.3,0.761429215,CPT,1,1
21,correct,0,0.95,0.93,Accurately states the 90-day earliest filing rule and the 30-day DSO signature validity.,VisaMate,0.243589458,0.756410542,0.771368475,0.765162829,0.2,0.771368475,OPT,1,1
22,correct,0,0.95,0.92,Fully aligns with the 90-day earliest filing rule and 30-day DSO recommendation validity.,VisaMate,0.070655016,0.929344984,0.76451345,0.659341898,0.3,0.76451345,OPT,1,1
23,correct,0,1,0.98,Correctly states that no job offer is required to apply for OPT.,VisaMate,0.086769425,0.913230575,0.710765102,0.74224326,0.4,0.710765102,OPT,1,1
24,partially_correct,0.25,0.75,0.7,Visamate gives 3-5 months; USCIS typical range is 1-3 months. Not wrong but outside normal guidance.,VisaMate,0.452856601,0.547143399,0.786774293,0.805138551,0.2,0.786774293,OPT,0,0
25,partially_correct,0.2,0.75,0.74,Correct that travel is risky but missing the official rule that reentry usually requires EAD + job offer after approval.,VisaMate,0.541640542,0.458359458,0.750087083,0.762396839,0.3,0.750087083,OPT,0,0
26,partially_correct,0.1,0.85,0.8,"Correct that OPT denial ends work eligibility, but mentions reentry bars which are not triggered by OPT denial alone.",VisaMate,0.423028393,0.576971607,0.756580536,0.721295955,0.2,0.756580536,OPT,0,0
27,correct,0,1,0.97,Fully correct: 12+ months of full-time CPT disqualifies OPT.,VisaMate,0.349408074,0.650591926,0.807528642,0.773195865,0.4,0.807528642,OPT,1,0
28,correct,0,0.95,0.92,Provides accurate I-765 documentation requirements.,VisaMate,0.058222894,0.941777106,0.805923687,0.681799257,0.4,0.805923687,OPT,1,1
29,correct,0,1,0.95,Accurately states USCIS accepts any reliable mailing address.,VisaMate,0.169432326,0.830567674,0.824114468,0.768777902,0.1,0.824114468,OPT,1,1
30,partially_correct,0.1,0.85,0.82,Correct that freelance work is allowed if related to major; incorrect to say OPT requires minimum 20 hours per week.,VisaMate,0.072199328,0.927800672,0.759335573,0.75039201,0.2,0.759335573,OPT,0,1
31,correct,0,1,0.98,Computer Science is DHS-listed and qualifies fully.,VisaMate,0.295056086,0.704943914,0.794229807,0.79196038,0.4,0.794229807,STEM OPT,1,1
32,correct,0,0.95,0.95,Accurately states 90-day earliest filing and 60-day DSO signature rule.,VisaMate,0.05150883,0.94849117,0.828303899,0.80319818,0.4,0.828303899,STEM OPT,1,1
33,correct,0,1,0.95,Correct: STEM applicants must be employed by an E-Verify employer to apply.,VisaMate,0.300035209,0.699964791,0.777669723,0.673852712,0.3,0.777669723,STEM OPT,1,0
34,correct,0,1,0.97,Accurately describes the STEM OPT training plan requirements.,VisaMate,0.024040088,0.975959912,0.919866373,0.582522019,0.5,0.919866373,STEM OPT,1,1
35,correct,0.05,0.95,0.92,Correct: students may change employers with new I-983 and E-Verify employer.,VisaMate,0.118153469,0.881846531,0.865414363,0.796811996,0.3,0.865414363,STEM OPT,1,1
36,correct,0,1,0.97,Correct: total unemployment limit is 150 days.,VisaMate,0.165493929,0.834506071,0.83720959,0.74072421,0.4,0.83720959,STEM OPT,1,1
37,correct,0,1,0.98,Fully aligns with DHS STEM OPT rules.,VisaMate,0.278596321,0.721403679,0.849123374,0.588751043,0.3,0.849123374,STEM OPT,1,1
38,correct,0.05,0.95,0.9,Consulting is allowed if employer is E-Verify and I-983 is submitted.,VisaMate,0.271179477,0.728820523,0.873846189,0.826462189,0.3,0.873846189,STEM OPT,1,1
39,correct,0,1,0.97,Correctly states STEM extension may be used once only.,VisaMate,0.058126263,0.941873737,0.806245791,0.762852358,0.3,0.806245791,STEM OPT,1,1
40,correct,0,1,0.95,Accurately explains reporting requirements and unemployment limits after job loss.,VisaMate,0.172172867,0.827827133,0.814979334,0.783961928,0.4,0.814979334,STEM OPT,1,1
41,correct,0,1,1,Matches the gold answer fully with no additional claims.,VisaMate,0.227975407,0.772024593,0.823415309,0.758443979,0.3,0.823415309,Job Loss,1,1
42,partially_correct,0.2,0.8,0.7,"Correct about 90-day limit but adds suggestions about enrolling in a new program, which is not part of the gold answer.",VisaMate,0.328199236,0.671800764,0.781002547,0.442577733,0.2,0.781002547,Job Loss,0,0
43,incorrect,0.6,0.4,0.2,"Gold says unpaid volunteer work counts; model incorrectly says it does not count, contradicting regulations.",VisaMate,0.226460311,0.773539689,0.828407032,0.570935614,0.3,0.828407032,Job Loss,0,1
44,correct,0,1,1,Accurately states job searching does not count as employment.,VisaMate,0.85988626,0.14011374,0.467045801,0.479393207,0.2,0.467045801,Job Loss,1,0
45,partially_correct,0.3,0.7,0.6,"Correct that DSO updates SEVIS but incorrectly says students must report unemployment, which is not required by USCIS.",VisaMate,0.317493957,0.682506043,0.719376253,0.707596094,0.3,0.719376253,Job Loss,0,0
