qid ,model,label,hallucination_score,correctness_score,semantic_similarity,explanation,error_type,summary
98,GPT4o,partially_correct,0,0.6,0.3,"GPT-4o provides practical advice about managing belongings but misses the immigration-specific point that USCIS doesn't regulate personal storage, only requiring lawful status maintenance during grace period.",other,Q98 - GPT4o - other
42,GPT4o,incorrect,0.1,0.2,0.1,GPT-4o provides generic career advice completely missing the immigration-specific requirements to update employment in SEVIS and that students may remain during the 90-day unemployment period per SEVP regulations.,missing_requirement,Q42 - GPT4o - missing_requirement
10,GPT4o,incorrect,0.1,0.3,0.1,GPT-4o provides generic relocation advice completely missing the immigration-specific requirement that schools must report registration in SEVIS and students must complete check-in to maintain F-1 status.,missing_requirement,Q10 - GPT4o - missing_requirement
7,GPT4o,partially_correct,0.1,0.6,0.3,"GPT-4o provides generic travel advice without addressing the F-1-specific regulatory answer that USCIS does not mandate health insurance for F-1 students, though it correctly notes some visas have insurance requirements.",vague_or_generic,Q7 - GPT4o - vague_or_generic
48,GPT4o,partially_correct,0.1,0.6,0.4,"GPT-4o provides general life advice but misses the specific immigration requirement that students must maintain status, and if unable to secure employment within allowed unemployment days, must depart or change status per SEVP regulations.",other,Q48 - GPT4o - other
128,GPT4o,partially_correct,0.1,0.6,0.5,GPT-4o provides general transfer advice but doesn't clearly address the F-1-specific requirement that students on academic suspension must transfer to another SEVP-certified school before falling out of status to maintain continuous full-time enrollment.,other,Q128 - GPT4o - other
75,GPT4o,partially_correct,0.1,0.7,0.5,"GPT-4o provides general advice about international remote work but doesn't address the F-1-specific context that USCIS doesn't regulate remote work abroad, though reentry requires proper documentation and may affect status maintenance.",other,Q75 - GPT4o - other
86,GPT4o,partially_correct,0.1,0.7,0.5,GPT-4o correctly confirms passive income is allowed but provides generic investment advice without addressing the F-1-specific point that USCIS doesn't consider passive investment to be employment.,vague_or_generic,Q86 - GPT4o - vague_or_generic
114,GPT4o,partially_correct,0.1,0.7,0.6,"GPT-4o provides general name correction advice but doesn't emphasize the immigration-specific sequence: update passport first with home country, then request updated I-20s and other document corrections.",other,Q114 - GPT4o - other
124,GPT4o,partially_correct,0.1,0.7,0.6,GPT-4o provides general advice about dropping to part-time but doesn't clearly emphasize the critical F-1 rule that part-time enrollment requires DSO authorization under specific USCIS criteria and unauthorized part-time study violates status.,other,Q124 - GPT4o - other
125,GPT4o,partially_correct,0.1,0.7,0.6,GPT-4o provides general advice about program extension but doesn't emphasize the critical USCIS requirement that new program end date must be reflected on I-20 before current end date expires with valid academic or medical reason.,other,Q125 - GPT4o - other
139,GPT4o,partially_correct,0.1,0.7,0.6,GPT-4o provides general academic advice about failing thesis defense but doesn't clearly emphasize the F-1-specific SEVP requirement that students must maintain full-time enrollment and may need program extension until completion.,other,Q139 - GPT4o - other
41,GPT4o,partially_correct,0.1,0.8,0.7,"GPT-4o correctly states 90 days for initial OPT but unnecessarily adds STEM OPT information when the question asks only about OPT unemployment days, going beyond the scope of the simple regulatory answer.",wrong_number,Q41 - GPT4o - wrong_number
46,GPT4o,partially_correct,0.1,0.8,0.8,"GPT-4o correctly identifies that exceeding 90 days jeopardizes F-1 status and may require leaving the U.S., consistent with SEVP guidance, though it adds non-immigration context about unemployment benefits and job searching.",wrong_number,Q46 - GPT4o - wrong_number
7,VisaMate,partially_correct,0.1,0.85,0.88,Correct about school requirements but should explicitly state that the U.S. government does NOT require health insurance for F-1.,other,Q7 - VisaMate - other
18,VisaMate,partially_correct,0.1,0.85,0.8,Correct but missing explicit note that documentation requirements vary by school and USCIS does not require forms.,missing_requirement,Q18 - VisaMate - missing_requirement
26,VisaMate,partially_correct,0.1,0.85,0.8,"Correct that OPT denial ends work eligibility, but mentions reentry bars which are not triggered by OPT denial alone.",other,Q26 - VisaMate - other
30,VisaMate,partially_correct,0.1,0.85,0.82,Correct that freelance work is allowed if related to major; incorrect to say OPT requires minimum 20 hours per week.,wrong_number,Q30 - VisaMate - wrong_number
30,GPT4o,partially_correct,0.1,0.9,0.8,"GPT-4o correctly states freelance work is allowed if related to field of study, accurately reflecting the regulatory requirement, though the gold answer emphasizes irrelevant freelance work is prohibited.",other,Q30 - GPT4o - other
6,VisaMate,partially_correct,0.1,0.9,0.9,"Accurate overall, but missing explicit requirement that dependents must receive their own I-20s.",missing_requirement,Q6 - VisaMate - missing_requirement
3,Claude,partially_correct,0.15,0.75,0.8,"Claude correctly states that the I-20 is not activated at the border but implies that entry itself 'starts' status, which is incomplete but not fabricated.",fabricated_rule,Q3 - Claude - fabricated_rule
184,Claude,partially_correct,0.15,0.8,0.82,Claude provides valid options but does not emphasize loss of work authorization without new status.,other,Q184 - Claude - other
58,GPT4o,partially_correct,0.2,0.6,0.4,GPT-4o provides general entry denial advice but misses the F-1-specific SEVP guidance that students must contact their school and may need a new SEVIS record to return after denial.,other,Q58 - GPT4o - other
122,GPT4o,partially_correct,0.2,0.6,0.4,"GPT-4o provides general advice about taking semester off but misses the specific F-1 regulation that DSO can authorize reduced course load for medical reasons including mental health, with up to 12 months allowed per educational level.",other,Q122 - GPT4o - other
127,Claude,partially_correct,0.2,0.7,0.78,Correct that probation does not break F-1 status but adds irrelevant restrictions unrelated to SEVP.,other,Q127 - Claude - other
4,GPT4o,partially_correct,0.2,0.7,0.5,GPT-4o provides general travel advice but dilutes the F-1-specific guidance; it correctly notes financial documents may be requested but lacks the specific F-1 context about nonimmigrant intent verification emphasized in the gold answer.,other,Q4 - GPT4o - other
9,GPT4o,partially_correct,0.2,0.7,0.6,"GPT-4o correctly states F-1 students can work on-campus immediately but need authorization for off-campus work, though it should clarify on-campus work is only permitted after the program start date per the gold answer.",other,Q9 - GPT4o - other
24,GPT4o,partially_correct,0.2,0.7,0.7,"GPT-4o states 3-5 months processing time which is longer than the gold answer's 1-3 months typical range; while processing times vary, the specific range provided may not accurately reflect current USCIS timelines.",other,Q24 - GPT4o - other
45,GPT4o,partially_correct,0.2,0.7,0.6,"GPT-4o correctly explains updating employment information through DSO and SEVP Portal but implies separate unemployment reporting is required, when USCIS only requires accurate employment dates in SEVIS to stop unemployment accrual.",other,Q45 - GPT4o - other
1,Claude,partially_correct,0.2,0.75,0.8,Claude lists the correct core documents but adds inaccurate items like ESTA and non-required documents; core meaning aligns but details are off.,other,Q1 - Claude - other
14,Claude,partially_correct,0.2,0.75,0.8,Claude gives reasonable school timelines but misses the key regulatory point that USCIS does not adjudicate CPT.,other,Q14 - Claude - other
23,Claude,partially_correct,0.2,0.75,0.85,Claude correctly states no job offer is required but introduces an incorrect rule about automatic loss of status after 90 days unemployed.,wrong_number,Q23 - Claude - wrong_number
24,Claude,partially_correct,0.2,0.75,0.8,Claude provides a slightly inflated processing time estimate but stays within reasonable meaning alignment.,other,Q24 - Claude - other
59,Claude,partially_correct,0.2,0.75,0.7,"General reasoning okay, but misses F-1 requirement that job proof is recommended specifically for OPT travel.",other,Q59 - Claude - other
61,Claude,partially_correct,0.2,0.75,0.8,Generally correct timeline but gives specific dates not guaranteed; still aligned with April filing window.,other,Q61 - Claude - other
88,Claude,partially_correct,0.2,0.75,0.8,Accurately describes volunteer rules but fails to explain OPT-related volunteer constraints.,other,Q88 - Claude - other
95,Claude,partially_correct,0.2,0.75,0.85,"Correct that F-1 to B-2 uses I-539, but Claude adds generic visa rules and unnecessary questions.",vague_or_generic,Q95 - Claude - vague_or_generic
121,Claude,partially_correct,0.2,0.75,0.82,Mostly accurate but adds unrelated financial aid and academic policies beyond immigration scope.,other,Q121 - Claude - other
25,VisaMate,partially_correct,0.2,0.75,0.74,Correct that travel is risky but missing the official rule that reentry usually requires EAD + job offer after approval.,missing_requirement,Q25 - VisaMate - missing_requirement
123,Claude,partially_correct,0.2,0.78,0.86,Correct about SEVIS update and new I-20 but adds extra OPT implications not in gold answer.,other,Q123 - Claude - other
135,Claude,partially_correct,0.2,0.78,0.82,Correct that retaking classes is allowed but omits the F-1 full-time requirement context.,missing_requirement,Q135 - Claude - missing_requirement
83,Claude,partially_correct,0.2,0.8,0.88,Correct that business activity requires CPT/OPT authorization but adds unnecessary sections on on-campus businesses and status change.,other,Q83 - Claude - other
84,Claude,partially_correct,0.2,0.8,0.9,Accurate about employer reporting but adds CPT and on-campus reporting tangents not in gold.,other,Q84 - Claude - other
89,Claude,partially_correct,0.2,0.8,0.85,"Correct that paid speaking is employment, but adds speculative distinctions about frequency.",other,Q89 - Claude - other
90,Claude,partially_correct,0.2,0.8,0.9,"Captures employer reporting but adds details not required by USCIS (supervisor info, hours, etc.).",other,Q90 - Claude - other
94,Claude,partially_correct,0.2,0.8,0.9,Correct description of grace period but adds unrelated status-change options not mentioned in gold.,other,Q94 - Claude - other
109,Claude,partially_correct,0.2,0.8,0.9,Correct process but adds USPS guidance irrelevant to gold.,other,Q109 - Claude - other
110,Claude,partially_correct,0.2,0.8,0.85,"Correct that DSOs correct SEVIS errors but adds student-initiated SEVP cases, which is not standard.",other,Q110 - Claude - other
200,Claude,partially_correct,0.2,0.8,0.78,"Claude lists many documents but omits specific F-1-required items: all I-20s, I-94s, EADs, I-797s.",missing_requirement,Q200 - Claude - missing_requirement
23,GPT4o,partially_correct,0.2,0.8,0.7,"GPT-4o correctly states no job offer is required to apply for OPT, but adds the fabricated requirement to find employment within 90 days of OPT start, when the actual unemployment limit applies differently under regulations.",wrong_number,Q23 - GPT4o - wrong_number
39,GPT4o,partially_correct,0.2,0.8,0.7,"GPT-4o correctly states one 24-month STEM extension is allowed, but adds confusing information about earning another degree at higher level that, while technically accurate, goes beyond the simple regulatory answer requested.",other,Q39 - GPT4o - other
151,GPT4o,partially_correct,0.2,0.8,0.8,"GPT-4o correctly states students on STEM OPT can have F-2 dependents and incorrectly adds that F-2 spouses cannot enroll full-time, when the answer should simply confirm STEM OPT doesn't restrict dependent sponsorship without additional incorrect restrictions.",other,Q151 - GPT4o - other
42,VisaMate,partially_correct,0.2,0.8,0.7,"Correct about 90-day limit but adds suggestions about enrolling in a new program, which is not part of the gold answer.",other,Q42 - VisaMate - other
51,VisaMate,partially_correct,0.2,0.8,0.8,"Mostly correct but omits that reentry requires proof of employment; suggests job letter only, not employment evidence.",missing_requirement,Q51 - VisaMate - missing_requirement
53,VisaMate,partially_correct,0.2,0.8,0.7,Correct on needing a valid visa; adds full-time enrollment requirement which is irrelevant during OPT.,other,Q53 - VisaMate - other
59,VisaMate,partially_correct,0.2,0.8,0.8,Correct that carrying job letter is advisable; adds CPT context unnecessary but not harmful.,other,Q59 - VisaMate - other
