qid,model,label,hallucination_score,correctness_score,semantic_similarity,explanation,error_type,summary
98,GPT4o,partially_correct,0,0.6,0.3,"GPT-4o provides practical advice about managing belongings but misses the immigration-specific point that USCIS doesn't regulate personal storage, only requiring lawful status maintenance during grace period.",,
42,GPT4o,incorrect,0.1,0.2,0.1,GPT-4o provides generic career advice completely missing the immigration-specific requirements to update employment in SEVIS and that students may remain during the 90-day unemployment period per SEVP regulations.,,
10,GPT4o,incorrect,0.1,0.3,0.1,GPT-4o provides generic relocation advice completely missing the immigration-specific requirement that schools must report registration in SEVIS and students must complete check-in to maintain F-1 status.,,
7,GPT4o,partially_correct,0.1,0.6,0.3,"GPT-4o provides generic travel advice without addressing the F-1-specific regulatory answer that USCIS does not mandate health insurance for F-1 students, though it correctly notes some visas have insurance requirements.",,
48,GPT4o,partially_correct,0.1,0.6,0.4,"GPT-4o provides general life advice but misses the specific immigration requirement that students must maintain status, and if unable to secure employment within allowed unemployment days, must depart or change status per SEVP regulations.",,
128,GPT4o,partially_correct,0.1,0.6,0.5,GPT-4o provides general transfer advice but doesn't clearly address the F-1-specific requirement that students on academic suspension must transfer to another SEVP-certified school before falling out of status to maintain continuous full-time enrollment.,,
75,GPT4o,partially_correct,0.1,0.7,0.5,"GPT-4o provides general advice about international remote work but doesn't address the F-1-specific context that USCIS doesn't regulate remote work abroad, though reentry requires proper documentation and may affect status maintenance.",,
86,GPT4o,partially_correct,0.1,0.7,0.5,GPT-4o correctly confirms passive income is allowed but provides generic investment advice without addressing the F-1-specific point that USCIS doesn't consider passive investment to be employment.,,
114,GPT4o,partially_correct,0.1,0.7,0.6,"GPT-4o provides general name correction advice but doesn't emphasize the immigration-specific sequence: update passport first with home country, then request updated I-20s and other document corrections.",,
124,GPT4o,partially_correct,0.1,0.7,0.6,GPT-4o provides general advice about dropping to part-time but doesn't clearly emphasize the critical F-1 rule that part-time enrollment requires DSO authorization under specific USCIS criteria and unauthorized part-time study violates status.,,
125,GPT4o,partially_correct,0.1,0.7,0.6,GPT-4o provides general advice about program extension but doesn't emphasize the critical USCIS requirement that new program end date must be reflected on I-20 before current end date expires with valid academic or medical reason.,,
139,GPT4o,partially_correct,0.1,0.7,0.6,GPT-4o provides general academic advice about failing thesis defense but doesn't clearly emphasize the F-1-specific SEVP requirement that students must maintain full-time enrollment and may need program extension until completion.,,
41,GPT4o,partially_correct,0.1,0.8,0.7,"GPT-4o correctly states 90 days for initial OPT but unnecessarily adds STEM OPT information when the question asks only about OPT unemployment days, going beyond the scope of the simple regulatory answer.",,
46,GPT4o,partially_correct,0.1,0.8,0.8,"GPT-4o correctly identifies that exceeding 90 days jeopardizes F-1 status and may require leaving the U.S., consistent with SEVP guidance, though it adds non-immigration context about unemployment benefits and job searching.",,
7,VisaMate,partially_correct,0.1,0.85,0.88,Correct about school requirements but should explicitly state that the U.S. government does NOT require health insurance for F-1.,,
18,VisaMate,partially_correct,0.1,0.85,0.8,Correct but missing explicit note that documentation requirements vary by school and USCIS does not require forms.,,
26,VisaMate,partially_correct,0.1,0.85,0.8,"Correct that OPT denial ends work eligibility, but mentions reentry bars which are not triggered by OPT denial alone.",,
30,VisaMate,partially_correct,0.1,0.85,0.82,Correct that freelance work is allowed if related to major; incorrect to say OPT requires minimum 20 hours per week.,,
30,GPT4o,partially_correct,0.1,0.9,0.8,"GPT-4o correctly states freelance work is allowed if related to field of study, accurately reflecting the regulatory requirement, though the gold answer emphasizes irrelevant freelance work is prohibited.",,
6,VisaMate,partially_correct,0.1,0.9,0.9,"Accurate overall, but missing explicit requirement that dependents must receive their own I-20s.",,
3,Claude,partially_correct,0.15,0.75,0.8,"Claude correctly states that the I-20 is not activated at the border but implies that entry itself 'starts' status, which is incomplete but not fabricated.",,
184,Claude,partially_correct,0.15,0.8,0.82,Claude provides valid options but does not emphasize loss of work authorization without new status.,,
58,GPT4o,partially_correct,0.2,0.6,0.4,GPT-4o provides general entry denial advice but misses the F-1-specific SEVP guidance that students must contact their school and may need a new SEVIS record to return after denial.,,
122,GPT4o,partially_correct,0.2,0.6,0.4,"GPT-4o provides general advice about taking semester off but misses the specific F-1 regulation that DSO can authorize reduced course load for medical reasons including mental health, with up to 12 months allowed per educational level.",,
127,Claude,partially_correct,0.2,0.7,0.78,Correct that probation does not break F-1 status but adds irrelevant restrictions unrelated to SEVP.,,
4,GPT4o,partially_correct,0.2,0.7,0.5,GPT-4o provides general travel advice but dilutes the F-1-specific guidance; it correctly notes financial documents may be requested but lacks the specific F-1 context about nonimmigrant intent verification emphasized in the gold answer.,,
9,GPT4o,partially_correct,0.2,0.7,0.6,"GPT-4o correctly states F-1 students can work on-campus immediately but need authorization for off-campus work, though it should clarify on-campus work is only permitted after the program start date per the gold answer.",,
24,GPT4o,partially_correct,0.2,0.7,0.7,"GPT-4o states 3-5 months processing time which is longer than the gold answer's 1-3 months typical range; while processing times vary, the specific range provided may not accurately reflect current USCIS timelines.",,
45,GPT4o,partially_correct,0.2,0.7,0.6,"GPT-4o correctly explains updating employment information through DSO and SEVP Portal but implies separate unemployment reporting is required, when USCIS only requires accurate employment dates in SEVIS to stop unemployment accrual.",,
1,Claude,partially_correct,0.2,0.75,0.8,Claude lists the correct core documents but adds inaccurate items like ESTA and non-required documents; core meaning aligns but details are off.,,
14,Claude,partially_correct,0.2,0.75,0.8,Claude gives reasonable school timelines but misses the key regulatory point that USCIS does not adjudicate CPT.,,
23,Claude,partially_correct,0.2,0.75,0.85,Claude correctly states no job offer is required but introduces an incorrect rule about automatic loss of status after 90 days unemployed.,,
24,Claude,partially_correct,0.2,0.75,0.8,Claude provides a slightly inflated processing time estimate but stays within reasonable meaning alignment.,,
59,Claude,partially_correct,0.2,0.75,0.7,"General reasoning okay, but misses F-1 requirement that job proof is recommended specifically for OPT travel.",,
61,Claude,partially_correct,0.2,0.75,0.8,Generally correct timeline but gives specific dates not guaranteed; still aligned with April filing window.,,
88,Claude,partially_correct,0.2,0.75,0.8,Accurately describes volunteer rules but fails to explain OPT-related volunteer constraints.,,
95,Claude,partially_correct,0.2,0.75,0.85,"Correct that F-1 to B-2 uses I-539, but Claude adds generic visa rules and unnecessary questions.",,
121,Claude,partially_correct,0.2,0.75,0.82,Mostly accurate but adds unrelated financial aid and academic policies beyond immigration scope.,,
25,VisaMate,partially_correct,0.2,0.75,0.74,Correct that travel is risky but missing the official rule that reentry usually requires EAD + job offer after approval.,,
123,Claude,partially_correct,0.2,0.78,0.86,Correct about SEVIS update and new I-20 but adds extra OPT implications not in gold answer.,,
135,Claude,partially_correct,0.2,0.78,0.82,Correct that retaking classes is allowed but omits the F-1 full-time requirement context.,,
83,Claude,partially_correct,0.2,0.8,0.88,Correct that business activity requires CPT/OPT authorization but adds unnecessary sections on on-campus businesses and status change.,,
84,Claude,partially_correct,0.2,0.8,0.9,Accurate about employer reporting but adds CPT and on-campus reporting tangents not in gold.,,
89,Claude,partially_correct,0.2,0.8,0.85,"Correct that paid speaking is employment, but adds speculative distinctions about frequency.",,
90,Claude,partially_correct,0.2,0.8,0.9,"Captures employer reporting but adds details not required by USCIS (supervisor info, hours, etc.).",,
94,Claude,partially_correct,0.2,0.8,0.9,Correct description of grace period but adds unrelated status-change options not mentioned in gold.,,
109,Claude,partially_correct,0.2,0.8,0.9,Correct process but adds USPS guidance irrelevant to gold.,,
110,Claude,partially_correct,0.2,0.8,0.85,"Correct that DSOs correct SEVIS errors but adds student-initiated SEVP cases, which is not standard.",,
200,Claude,partially_correct,0.2,0.8,0.78,"Claude lists many documents but omits specific F-1-required items: all I-20s, I-94s, EADs, I-797s.",,
23,GPT4o,partially_correct,0.2,0.8,0.7,"GPT-4o correctly states no job offer is required to apply for OPT, but adds the fabricated requirement to find employment within 90 days of OPT start, when the actual unemployment limit applies differently under regulations.",,
39,GPT4o,partially_correct,0.2,0.8,0.7,"GPT-4o correctly states one 24-month STEM extension is allowed, but adds confusing information about earning another degree at higher level that, while technically accurate, goes beyond the simple regulatory answer requested.",,
